"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","notes"
61867,"201410310CHI","NBA",0,2015,"10/31/2014",2,0,"CHI","Bulls",108,1572.1603,1557.6185,46.533825,"CLE","Cavaliers",114,1455.226,1469.7677,"H","L",0.77708763,"NULL"
61867,"201410310CHI","NBA",1,2015,"10/31/2014",2,0,"CLE","Cavaliers",114,1455.226,1469.7677,37.362232,"CHI","Bulls",108,1572.1603,1557.6185,"A","W",0.22291237,"NULL"
61868,"201410310IND","NBA",1,2015,"10/31/2014",2,0,"MEM","Grizzlies",97,1581.522,1592.4651,50.07056,"IND","Pacers",89,1535.2634,1524.3203,"A","W",0.42327082,"NULL"
61868,"201410310IND","NBA",0,2015,"10/31/2014",2,0,"IND","Pacers",89,1535.2634,1524.3203,43.073196,"MEM","Grizzlies",97,1581.522,1592.4651,"H","L",0.57672918,"NULL"
61869,"201410310LAL","NBA",1,2015,"10/31/2014",2,0,"LAC","Clippers",118,1633.9928,1638.92,54.565639,"LAL","Lakers",111,1405.4108,1400.4835,"A","W",0.67703474,"NULL"
61869,"201410310LAL","NBA",0,2015,"10/31/2014",3,0,"LAL","Lakers",111,1405.4108,1400.4835,30.335787,"LAC","Clippers",118,1633.9928,1638.92,"H","L",0.32296529,"NULL"
61870,"201410310MIL","NBA",0,2015,"10/31/2014",2,0,"MIL","Bucks",93,1316.6272,1324.2878,23.327812,"PHI","Sixers",81,1313.8357,1306.175,"H","W",0.64375865,"NULL"
61870,"201410310MIL","NBA",1,2015,"10/31/2014",2,0,"PHI","Sixers",81,1313.8357,1306.175,21.812202,"MIL","Bucks",93,1316.6272,1324.2878,"A","L",0.35624135,"NULL"
61871,"201410310PHO","NBA",0,2015,"10/31/2014",2,0,"PHO","Suns",94,1565.3689,1573.3562,48.144936,"SAS","Spurs",89,1701.1141,1693.1268,"H","W",0.4487392,"NULL"
61871,"201410310PHO","NBA",1,2015,"10/31/2014",2,0,"SAS","Spurs",89,1701.1141,1693.1268,59.377598,"PHO","Suns",94,1565.3689,1573.3562,"A","L",0.55126083,"NULL"
61872,"201410310SAC","NBA",1,2015,"10/31/2014",2,0,"POR","Trailblazers",94,1579.9985,1567.9905,47.597916,"SAC","Kings",103,1419.0911,1431.0991,"A","L",0.58676589,"NULL"
61872,"201410310SAC","NBA",0,2015,"10/31/2014",2,0,"SAC","Kings",103,1419.0911,1431.0991,33.385868,"POR","Trailblazers",94,1579.9985,1567.9905,"H","W",0.41323411,"NULL"
